Week_Start_Date,MMWR_week,Country_Region,Population,Density (P/Km²),Confirmed,Deaths,Recovered,Active
2020-02-10,7,Germany,83783942,240,112.0,0.0,5.0,107.0
2020-02-10,7,Hong Kong,7496981,7140,359.0,7.0,6.0,346.0
2020-02-10,7,India,1380004385,464,54.0,0.0,45.0,9.0
2020-02-10,7,Japan,126476461,347,239.0,4.0,64.0,171.0
2020-02-10,7,Macau,649335,21645,80.0,0.0,31.0,49.0
2020-02-10,7,Malaysia,32365999,99,158.0,0.0,34.0,124.0
2020-02-10,7,Nepal,29136808,203,27.0,0.0,27.0,0.0
2020-02-10,7,Philippines,109581078,368,69.0,23.0,23.0,23.0
2020-02-10,7,Russia,145934462,9,38.0,0.0,38.0,0.0
2020-02-10,7,Singapore,5850342,8358,414.0,0.0,94.0,320.0
2020-02-10,7,South Korea,51269185,527,196.0,0.0,45.0,151.0
2020-02-10,7,Spain,46754778,94,20.0,0.0,20.0,0.0
2020-02-10,7,Taiwan,23816775,673,56.0,1.0,6.0,49.0
2020-02-10,7,Thailand,69799978,137,199.0,0.0,70.0,129.0
2020-02-10,7,US,331002651,36,44.0,0.0,0.0,44.0
2020-02-10,7,United Arab Emirates,9890402,118,102.0,0.0,30.0,72.0
2020-02-10,7,United Kingdom,67886011,281,124.0,0.0,68.0,56.0
2020-02-10,7,Vietnam,97338579,314,172.0,0.0,69.0,103.0
2020-02-17,8,Australia,25499884,3,103.0,0.0,32.0,71.0
2020-02-17,8,Belgium,11589623,383,13.0,0.0,13.0,0.0
2020-02-17,8,Canada,37742154,4,50.0,0.0,6.0,44.0
2020-02-17,8,China,1439323776,153,526492.0,15337.0,126231.0,384924.0
2020-02-17,8,Egypt,102334404,103,7.0,0.0,0.0,7.0
2020-02-17,8,Germany,83783942,240,112.0,0.0,92.0,20.0
2020-02-17,8,Hong Kong,7496981,7140,464.0,12.0,37.0,415.0
2020-02-17,8,Iran,83992949,52,96.0,21.0,0.0,75.0
2020-02-17,8,Iraq,40222493,93,0.0,0.0,0.0,0.0
2020-02-17,8,Israel,8655535,400,5.0,0.0,0.0,5.0
2020-02-17,8,Italy,60461826,206,237.0,6.0,3.0,228.0
2020-02-17,8,Japan,126476461,347,692.0,7.0,127.0,558.0
2020-02-17,8,Lebanon,6825445,667,5.0,0.0,0.0,5.0
2020-02-17,8,Macau,649335,21645,50.0,0.0,30.0,20.0
2020-02-17,8,Malaysia,32365999,99,132.0,0.0,88.0,44.0
2020-02-17,8,Singapore,5850342,8358,674.0,0.0,297.0,377.0
2020-02-17,8,South Korea,51269185,527,1435.0,11.0,100.0,1324.0
2020-02-17,8,Taiwan,23816775,673,171.0,7.0,14.0,150.0
2020-02-17,8,Thailand,69799978,137,280.0,0.0,136.0,144.0
2020-02-17,8,US,331002651,36,120.0,0.0,21.0,99.0
2020-02-17,8,United Arab Emirates,9890402,118,78.0,0.0,24.0,54.0
2020-02-17,8,Vietnam,97338579,314,64.0,0.0,56.0,8.0
2020-02-24,9,Afghanistan,38928346,60,13.0,0.0,0.0,13.0
2020-02-24,9,Algeria,43851044,18,6.0,0.0,0.0,6.0
2020-02-24,9,Armenia,2963243,104,11.0,0.0,0.0,11.0
2020-02-24,9,Australia,25499884,3,91.0,4.0,27.0,60.0
2020-02-24,9,Austria,9006398,109,33.0,0.0,0.0,33.0
2020-02-24,9,Azerbaijan,10139177,123,13.0,0.0,0.0,13.0
2020-02-24,9,Bahrain,1701575,2239,214.0,0.0,0.0,214.0
2020-02-24,9,Belarus,9449323,47,5.0,0.0,0.0,5.0
2020-02-24,9,Belgium,11589623,383,2.0,0.0,1.0,1.0
2020-02-24,9,Brazil,212559417,25,11.0,0.0,0.0,11.0
2020-02-24,9,Canada,37742154,4,101.0,0.0,29.0,72.0
2020-02-24,9,China,1439323776,153,549255.0,19210.0,233258.0,296787.0
2020-02-24,9,Croatia,4105267,73,32.0,0.0,0.0,32.0
2020-02-24,9,Czechia,10708981,139,3.0,0.0,0.0,3.0
2020-02-24,9,Denmark,5792202,137,13.0,0.0,0.0,13.0
2020-02-24,9,Dominican Republic,10847910,225,1.0,0.0,0.0,1.0
2020-02-24,9,Ecuador,17643054,71,12.0,0.0,0.0,12.0
2020-02-24,9,Egypt,102334404,103,10.0,0.0,6.0,4.0
2020-02-24,9,Estonia,1326535,31,5.0,0.0,0.0,5.0
2020-02-24,9,Finland,5540720,18,33.0,0.0,8.0,25.0
2020-02-24,9,France,65273511,119,357.0,11.0,68.0,278.0
2020-02-24,9,Georgia,3989167,57,16.0,0.0,0.0,16.0
2020-02-24,9,Germany,83783942,240,347.0,0.0,93.0,254.0
2020-02-24,9,Greece,10423054,81,33.0,0.0,0.0,33.0
2020-02-24,9,Hong Kong,7496981,7140,631.0,14.0,185.0,432.0
2020-02-24,9,Iceland,341243,3,5.0,0.0,0.0,5.0
2020-02-24,9,Iran,83992949,52,2499.0,204.0,469.0,1826.0
2020-02-24,9,Iraq,40222493,93,53.0,0.0,0.0,53.0
2020-02-24,9,Ireland,4937786,72,3.0,0.0,0.0,3.0
2020-02-24,9,Israel,8655535,400,36.0,0.0,5.0,31.0
2020-02-24,9,Italy,60461826,206,5369.0,130.0,225.0,5014.0
2020-02-24,9,Japan,126476461,347,1457.0,23.0,174.0,1260.0
2020-02-24,9,Kuwait,4270571,240,216.0,0.0,0.0,216.0
2020-02-24,9,Lebanon,6825445,667,20.0,0.0,0.0,20.0
2020-02-24,9,Lithuania,2722289,43,12.0,0.0,0.0,12.0
2020-02-24,9,Luxembourg,625978,242,3.0,0.0,0.0,3.0
2020-02-24,9,Macau,649335,21645,70.0,0.0,54.0,16.0
2020-02-24,9,Malaysia,32365999,99,195.0,0.0,144.0,51.0
